2000_american_leagueteam_standings,year,league,2001_american_leagueteam_standings,2002_american_leagueteam_standings,2003_american_leagueteam_standings,2004_american_leagueteam_standings,2005_american_leagueteam_standings,2006_american_league_standings2006_allstar_game_2006_al_team_standings_2006_world_series,2007_american_league_standings2007_allstar_game_2007_al_team_standings_2007_world_series,2008_american_league_player_review2007_2008_hitting_statistics_league_leaders_2009,2009_american_leagueteam_standings,2010_american_league_standings2010_allstar_game_2010_al_team_standings_2010_world_series,2011_american_league_standings2011_allstar_game_2011_team_standings_2011_world_series,2012_american_league_standings2012_allstar_game_2012_team_standings_2012_world_series,2013_american_leagueteam_standings,2014_american_league_team_standings2014_allstar_game_team_standings_2014_world_series,2015_american_leagueteam_standings,2016_american_leagueteam_standings,2017_american_league_team_standings2017_allstar_game_2017_team_standings_2017_world_series,2018_american_league_team_standings2018_allstar_game_2018_team_standings_2018_world_series,2019_american_leagueteam_standings,2020_american_league_team_standings2020_allstar_game_2020_team_standings_2020_world_series,2021_american_league_team_standings2021_allstar_game_2021_team_standings_2021_world_series,2022_american_league_team_standings2022_allstar_game_2022_team_standings_2022_world_series,2023_american_league_team_standings2023_allstar_game_2023_team_standings_2023_world_series,2024_american_league_team_standings2024_allstar_game_2024_team_standings_2024_world_series
East,2000,American,,,,,,,,,,,,,,,,,,,,,,,,
New York Yankees,2000,American,,,,,,,,,,,,,,,,,,,,,,,,
Boston Red Sox,2000,American,,,,,,,,,,,,,,,,,,,,,,,,
Toronto Blue Jays,2000,American,,,,,,,,,,,,,,,,,,,,,,,,
Baltimore Orioles,2000,American,,,,,,,,,,,,,,,,,,,,,,,,
Tampa Bay Devil Rays,2000,American,,,,,,,,,,,,,,,,,,,,,,,,
Central,2000,American,,,,,,,,,,,,,,,,,,,,,,,,
Chicago White Sox,2000,American,,,,,,,,,,,,,,,,,,,,,,,,
Cleveland Indians,2000,American,,,,,,,,,,,,,,,,,,,,,,,,
Detroit Tigers,2000,American,,,,,,,,,,,,,,,,,,,,,,,,
Kansas City Royals,2000,American,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota Twins,2000,American,,,,,,,,,,,,,,,,,,,,,,,,
West,2000,American,,,,,,,,,,,,,,,,,,,,,,,,
Oakland Athletics,2000,American,,,,,,,,,,,,,,,,,,,,,,,,
Seattle Mariners,2000,American,,,,,,,,,,,,,,,,,,,,,,,,
Anaheim Angels,2000,American,,,,,,,,,,,,,,,,,,,,,,,,
Texas Rangers,2000,American,,,,,,,,,,,,,,,,,,,,,,,,
American League Team Standings,2000,American,,,,,,,,,,,,,,,,,,,,,,,,
,2001,American,East,,,,,,,,,,,,,,,,,,,,,,,
,2001,American,New York Yankees,,,,,,,,,,,,,,,,,,,,,,,
,2001,American,Boston Red Sox,,,,,,,,,,,,,,,,,,,,,,,
,2001,American,Toronto Blue Jays,,,,,,,,,,,,,,,,,,,,,,,
,2001,American,Kansas City Royals,,,,,,,,,,,,,,,,,,,,,,,
,2001,American,Detroit Tigers,,,,,,,,,,,,,,,,,,,,,,,
,2001,American,Tampa Bay Devil Rays,,,,,,,,,,,,,,,,,,,,,,,
,2001,American,Baltimore Orioles,,,,,,,,,,,,,,,,,,,,,,,
,2001,American,Cleveland Indians,,,,,,,,,,,,,,,,,,,,,,,
,2001,American,Central,,,,,,,,,,,,,,,,,,,,,,,
,2001,American,Minnesota Twins,,,,,,,,,,,,,,,,,,,,,,,
,2001,American,Chicago White Sox,,,,,,,,,,,,,,,,,,,,,,,
,2001,American,West,,,,,,,,,,,,,,,,,,,,,,,
,2001,American,Seattle Mariners,,,,,,,,,,,,,,,,,,,,,,,
,2001,American,Oakland Athletics,,,,,,,,,,,,,,,,,,,,,,,
,2001,American,Anaheim Angels,,,,,,,,,,,,,,,,,,,,,,,
,2001,American,American League Team Standings,,,,,,,,,,,,,,,,,,,,,,,
,2001,American,Texas Rangers,,,,,,,,,,,,,,,,,,,,,,,
,2002,American,,Chicago White Sox,,,,,,,,,,,,,,,,,,,,,,
,2002,American,,Cleveland Indians,,,,,,,,,,,,,,,,,,,,,,
,2002,American,,Tampa Bay Devil Rays,,,,,,,,,,,,,,,,,,,,,,
,2002,American,,Baltimore Orioles,,,,,,,,,,,,,,,,,,,,,,
,2002,American,,Seattle Mariners,,,,,,,,,,,,,,,,,,,,,,
,2002,American,,Anaheim Angels,,,,,,,,,,,,,,,,,,,,,,
,2002,American,,Minnesota Twins,,,,,,,,,,,,,,,,,,,,,,
,2002,American,,Central,,,,,,,,,,,,,,,,,,,,,,
,2002,American,,Toronto Blue Jays,,,,,,,,,,,,,,,,,,,,,,
,2002,American,,Boston Red Sox,,,,,,,,,,,,,,,,,,,,,,
,2002,American,,American League Team Standings,,,,,,,,,,,,,,,,,,,,,,
,2002,American,,Texas Rangers,,,,,,,,,,,,,,,,,,,,,,
,2002,American,,East,,,,,,,,,,,,,,,,,,,,,,
,2002,American,,New York Yankees,,,,,,,,,,,,,,,,,,,,,,
,2002,American,,Oakland Athletics,,,,,,,,,,,,,,,,,,,,,,
,2002,American,,West,,,,,,,,,,,,,,,,,,,,,,
,2002,American,,Detroit Tigers,,,,,,,,,,,,,,,,,,,,,,
,2002,American,,Kansas City Royals,,,,,,,,,,,,,,,,,,,,,,
,2003,American,,,Texas Rangers,,,,,,,,,,,,,,,,,,,,,
,2003,American,,,2003 American League Final Standings,,,,,,,,,,,,,,,,,,,,,
,2003,American,,,Cleveland Indians,,,,,,,,,,,,,,,,,,,,,
,2003,American,,,Detroit Tigers,,,,,,,,,,,,,,,,,,,,,
,2003,American,,,Chicago White Sox,,,,,,,,,,,,,,,,,,,,,
,2003,American,,,Kansas City Royals,,,,,,,,,,,,,,,,,,,,,
,2003,American,,,West,,,,,,,,,,,,,,,,,,,,,
,2003,American,,,Oakland Athletics,,,,,,,,,,,,,,,,,,,,,
,2003,American,,,Anaheim Angels,,,,,,,,,,,,,,,,,,,,,
,2003,American,,,Seattle Mariners,,,,,,,,,,,,,,,,,,,,,
,2003,American,,,Central,,,,,,,,,,,,,,,,,,,,,
,2003,American,,,Minnesota Twins,,,,,,,,,,,,,,,,,,,,,
,2003,American,,,Tampa Bay Devil Rays,,,,,,,,,,,,,,,,,,,,,
,2003,American,,,Baltimore Orioles,,,,,,,,,,,,,,,,,,,,,
,2003,American,,,New York Yankees,,,,,,,,,,,,,,,,,,,,,
,2003,American,,,East,,,,,,,,,,,,,,,,,,,,,
,2003,American,,,Toronto Blue Jays,,,,,,,,,,,,,,,,,,,,,
,2003,American,,,Boston Red Sox,,,,,,,,,,,,,,,,,,,,,
,2004,American,,,,Detroit Tigers,,,,,,,,,,,,,,,,,,,,
,2004,American,,,,Kansas City Royals,,,,,,,,,,,,,,,,,,,,
,2004,American,,,,Central,,,,,,,,,,,,,,,,,,,,
,2004,American,,,,Minnesota Twins,,,,,,,,,,,,,,,,,,,,
,2004,American,,,,Boston Red Sox,,,,,,,,,,,,,,,,,,,,
,2004,American,,,,Baltimore Orioles,,,,,,,,,,,,,,,,,,,,
,2004,American,,,,Tampa Bay Devil Rays,,,,,,,,,,,,,,,,,,,,
,2004,American,,,,Toronto Blue Jays,,,,,,,,,,,,,,,,,,,,
,2004,American,,,,Seattle Mariners,,,,,,,,,,,,,,,,,,,,
,2004,American,,,,2004 American League Final Standings,,,,,,,,,,,,,,,,,,,,
,2004,American,,,,Chicago White Sox,,,,,,,,,,,,,,,,,,,,
,2004,American,,,,Cleveland Indians,,,,,,,,,,,,,,,,,,,,
,2004,American,,,,East,,,,,,,,,,,,,,,,,,,,
,2004,American,,,,New York Yankees,,,,,,,,,,,,,,,,,,,,
,2004,American,,,,Oakland Athletics,,,,,,,,,,,,,,,,,,,,
,2004,American,,,,Texas Rangers,,,,,,,,,,,,,,,,,,,,
,2004,American,,,,West,,,,,,,,,,,,,,,,,,,,
,2004,American,,,,Anaheim Angels,,,,,,,,,,,,,,,,,,,,
,2005,American,,,,,Central,,,,,,,,,,,,,,,,,,,
,2005,American,,,,,Chicago White Sox,,,,,,,,,,,,,,,,,,,
,2005,American,,,,,Boston Red Sox,,,,,,,,,,,,,,,,,,,
,2005,American,,,,,Toronto Blue Jays,,,,,,,,,,,,,,,,,,,
,2005,American,,,,,East,,,,,,,,,,,,,,,,,,,
,2005,American,,,,,New York Yankees,,,,,,,,,,,,,,,,,,,
,2005,American,,,,,Los Angeles Angels of Anaheim,,,,,,,,,,,,,,,,,,,
,2005,American,,,,,West,,,,,,,,,,,,,,,,,,,
,2005,American,,,,,Kansas City Royals,,,,,,,,,,,,,,,,,,,
,2005,American,,,,,"Seasonal Events:All-Star Game|HR Derby|World SeriesNavigation:Year in Review Menu|Previous Season|Next SeasonMiscellaneous:N.L. Leaderboard| Retirements|Rookies ListAverage Salary: $2,632,655Minimum Salary: $316,000.00",,,,,,,,,,,,,,,,,,,
,2005,American,,,,,2005 American League Final Standings,,,,,,,,,,,,,,,,,,,
,2005,American,,,,,Seattle Mariners,,,,,,,,,,,,,,,,,,,
,2005,American,,,,,Texas Rangers,,,,,,,,,,,,,,,,,,,
,2005,American,,,,,Oakland Athletics,,,,,,,,,,,,,,,,,,,
,2005,American,,,,,Minnesota Twins,,,,,,,,,,,,,,,,,,,
,2005,American,,,,,Cleveland Indians,,,,,,,,,,,,,,,,,,,
,2005,American,,,,,Detroit Tigers,,,,,,,,,,,,,,,,,,,
,2005,American,,,,,Tampa Bay Devil Rays,,,,,,,,,,,,,,,,,,,
,2005,American,,,,,Baltimore Orioles,,,,,,,,,,,,,,,,,,,
,2006,American,,,,,,A.L.,,,,,,,,,,,,,,,,,,
,2006,American,,,,,,2006 American League Final Standings,,,,,,,,,,,,,,,,,,
,2006,American,,,,,,Seattle Mariners,,,,,,,,,,,,,,,,,,
,2006,American,,,,,,Toronto Blue Jays,,,,,,,,,,,,,,,,,,
,2006,American,,,,,,New York Yankees,,,,,,,,,,,,,,,,,,
,2006,American,,,,,,East,,,,,,,,,,,,,,,,,,
,2006,American,,,,,,Texas Rangers,,,,,,,,,,,,,,,,,,
,2006,American,,,,,,Los Angeles Angels,,,,,,,,,,,,,,,,,,
,2006,American,,,,,,Oakland Athletics,,,,,,,,,,,,,,,,,,
,2006,American,,,,,,West,,,,,,,,,,,,,,,,,,
,2006,American,,,,,,Kansas City Royals,,,,,,,,,,,,,,,,,,
,2006,American,,,,,,Cleveland Indians,,,,,,,,,,,,,,,,,,
,2006,American,,,,,,Chicago White Sox,,,,,,,,,,,,,,,,,,
,2006,American,,,,,,Detroit Tigers,,,,,,,,,,,,,,,,,,
,2006,American,,,,,,Minnesota Twins,,,,,,,,,,,,,,,,,,
,2006,American,,,,,,Central,,,,,,,,,,,,,,,,,,
,2006,American,,,,,,Tampa Bay Devil Rays,,,,,,,,,,,,,,,,,,
,2006,American,,,,,,Baltimore Orioles,,,,,,,,,,,,,,,,,,
,2006,American,,,,,,Boston Red Sox,,,,,,,,,,,,,,,,,,
,2007,American,,,,,,,Boston Red Sox,,,,,,,,,,,,,,,,,
,2007,American,,,,,,,East,,,,,,,,,,,,,,,,,
,2007,American,,,,,,,2007 American League Final Standings,,,,,,,,,,,,,,,,,
,2007,American,,,,,,,Toronto Blue Jays,,,,,,,,,,,,,,,,,
,2007,American,,,,,,,Baltimore Orioles,,,,,,,,,,,,,,,,,
,2007,American,,,,,,,Tampa Bay Devil Rays,,,,,,,,,,,,,,,,,
,2007,American,,,,,,,Central,,,,,,,,,,,,,,,,,
,2007,American,,,,,,,Cleveland Indians,,,,,,,,,,,,,,,,,
,2007,American,,,,,,,Detroit Tigers,,,,,,,,,,,,,,,,,
,2007,American,,,,,,,Minnesota Twins,,,,,,,,,,,,,,,,,
,2007,American,,,,,,,Chicago White Sox,,,,,,,,,,,,,,,,,
,2007,American,,,,,,,Kansas City Royals,,,,,,,,,,,,,,,,,
,2007,American,,,,,,,West,,,,,,,,,,,,,,,,,
,2007,American,,,,,,,Los Angeles Angels,,,,,,,,,,,,,,,,,
,2007,American,,,,,,,Seattle Mariners,,,,,,,,,,,,,,,,,
,2007,American,,,,,,,New York Yankees,,,,,,,,,,,,,,,,,
,2007,American,,,,,,,Texas Rangers,,,,,,,,,,,,,,,,,
,2007,American,,,,,,,A.L.,,,,,,,,,,,,,,,,,
,2007,American,,,,,,,Oakland Athletics,,,,,,,,,,,,,,,,,
,2008,American,,,,,,,,On Base Percentage,,,,,,,,,,,,,,,,
,2008,American,,,,,,,,Base on Balls,,,,,,,,,,,,,,,,
,2008,American,,,,,,,,Batting Average,,,,,,,,,,,,,,,,
,2008,American,,,,,,,,Doubles,,,,,,,,,,,,,,,,
,2008,American,,,,,,,,Statistic,,,,,,,,,,,,,,,,
,2008,American,,,,,,,,Ichiro Suzuki,,,,,,,,,,,,,,,,
,2008,American,,,,,,,,Home Runs,,,,,,,,,,,,,,,,
,2008,American,,,,,,,,Stolen Bases,,,,,,,,,,,,,,,,
,2008,American,,,,,,,,RBI,,,,,,,,,,,,,,,,
,2008,American,,,,,,,,Runs,,,,,,,,,,,,,,,,
,2008,American,,,,,,,,Slugging Average,,,,,,,,,,,,,,,,
,2008,American,,,,,,,,Total Bases,,,,,,,,,,,,,,,,
,2008,American,,,,,,,,Hits,,,,,,,,,,,,,,,,
,2008,American,,,,,,,,2008 N.L.|A.L. Retirements|A.L. Rookies|Year-by-Year,,,,,,,,,,,,,,,,
,2008,American,,,,,,,,Triples,,,,,,,,,,,,,,,,
,2009,American,,,,,,,,,Boston Red Sox,,,,,,,,,,,,,,,
,2009,American,,,,,,,,,New York Yankees,,,,,,,,,,,,,,,
,2009,American,,,,,,,,,Tampa Bay Rays,,,,,,,,,,,,,,,
,2009,American,,,,,,,,,Seattle Mariners,,,,,,,,,,,,,,,
,2009,American,,,,,,,,,Oakland Athletics,,,,,,,,,,,,,,,
,2009,American,,,,,,,,,2009 American League Final Standings,,,,,,,,,,,,,,,
,2009,American,,,,,,,,,"Seasonal Events:All-Star Game|Home Run Derby|World SeriesNavigation:Year in Review Menu|Previous Season|Next SeasonMiscellaneous:N.L. Leaderboard|Rookies ListAverage Salary: $3,240,206.81Minimum Salary: $390,000.00",,,,,,,,,,,,,,,
,2009,American,,,,,,,,,Toronto Blue Jays,,,,,,,,,,,,,,,
,2009,American,,,,,,,,,Detroit Tigers,,,,,,,,,,,,,,,
,2009,American,,,,,,,,,Baltimore Orioles,,,,,,,,,,,,,,,
,2009,American,,,,,,,,,Central,,,,,,,,,,,,,,,
,2009,American,,,,,,,,,Minnesota Twins,,,,,,,,,,,,,,,
,2009,American,,,,,,,,,Cleveland Indians,,,,,,,,,,,,,,,
,2009,American,,,,,,,,,West,,,,,,,,,,,,,,,
,2009,American,,,,,,,,,Texas Rangers,,,,,,,,,,,,,,,
,2009,American,,,,,,,,,Los Angeles Angels,,,,,,,,,,,,,,,
,2009,American,,,,,,,,,Kansas City Royals,,,,,,,,,,,,,,,
,2009,American,,,,,,,,,Chicago White Sox,,,,,,,,,,,,,,,
,2009,American,,,,,,,,,East,,,,,,,,,,,,,,,
,2010,American,,,,,,,,,,2010 American League Final Standings,,,,,,,,,,,,,,
,2010,American,,,,,,,,,,Toronto Blue Jays,,,,,,,,,,,,,,
,2010,American,,,,,,,,,,A.L.,,,,,,,,,,,,,,
,2010,American,,,,,,,,,,Central,,,,,,,,,,,,,,
,2010,American,,,,,,,,,,Baltimore Orioles,,,,,,,,,,,,,,
,2010,American,,,,,,,,,,Seattle Mariners,,,,,,,,,,,,,,
,2010,American,,,,,,,,,,Los Angeles Angels,,,,,,,,,,,,,,
,2010,American,,,,,,,,,,Oakland Athletics,,,,,,,,,,,,,,
,2010,American,,,,,,,,,,Texas Rangers,,,,,,,,,,,,,,
,2010,American,,,,,,,,,,West,,,,,,,,,,,,,,
,2010,American,,,,,,,,,,Boston Red Sox,,,,,,,,,,,,,,
,2010,American,,,,,,,,,,New York Yankees,,,,,,,,,,,,,,
,2010,American,,,,,,,,,,Tampa Bay Rays,,,,,,,,,,,,,,
,2010,American,,,,,,,,,,Minnesota Twins,,,,,,,,,,,,,,
,2010,American,,,,,,,,,,Chicago White Sox,,,,,,,,,,,,,,
,2010,American,,,,,,,,,,Cleveland Indians,,,,,,,,,,,,,,
,2010,American,,,,,,,,,,Detroit Tigers,,,,,,,,,,,,,,
,2010,American,,,,,,,,,,East,,,,,,,,,,,,,,
,2010,American,,,,,,,,,,Kansas City Royals,,,,,,,,,,,,,,
,2011,American,,,,,,,,,,,Seattle Mariners,,,,,,,,,,,,,
,2011,American,,,,,,,,,,,Los Angeles Angels,,,,,,,,,,,,,
,2011,American,,,,,,,,,,,Chicago White Sox,,,,,,,,,,,,,
,2011,American,,,,,,,,,,,Cleveland Indians,,,,,,,,,,,,,
,2011,American,,,,,,,,,,,Minnesota Twins,,,,,,,,,,,,,
,2011,American,,,,,,,,,,,Kansas City Royals,,,,,,,,,,,,,
,2011,American,,,,,,,,,,,A.L.,,,,,,,,,,,,,
,2011,American,,,,,,,,,,,East,,,,,,,,,,,,,
,2011,American,,,,,,,,,,,Boston Red Sox,,,,,,,,,,,,,
