2000_american_league_pitcher_reviewpitching_statistics_league_leaderboard,year,league,2001_american_league_pitcher_reviewpitching_statistics_league_leaderboard,2002_american_league_pitcher_reviewpitching_statistics_league_leaderboard,2003_american_league_pitcher_reviewpitching_statistics_league_leaderboard,2004_american_league_pitcher_reviewpitching_statistics_league_leaderboard,2005_american_league_pitcher_reviewpitching_statistics_league_leaderboard,2006_american_league_pitcher_review2005_2006_al_pitching_statistics_league_leaders_2007,2007_american_league_pitcher_review2006_2007_al_pitching_statistics_league_leaders_2008,2008_american_league_player_review2007_2008_pitching_statistics_league_leaders_2009,2009_american_league_pitcher_reviewpitching_statistics_league_leaderboard,2010_american_league_pitcher_review2009_2010_pitching_statistics_league_leaders_2011,2011_american_league_pitcher_review2010_2011_pitching_statistics_league_leaders_2012,2012_american_league_pitcher_review2011_2012_pitching_statistics_league_leaders_2013,2013_american_league_pitcher_reviewpitching_statistics_league_leaderboard,2014_american_league_pitcher_reviewpitching_statistics_league_leaderboard,2015_american_league_pitcher_reviewpitching_statistics_league_leaderboard,2016_american_league_pitcher_reviewpitching_statistics_league_leaderboard,2017_american_league_pitcher_review2016_2017_pitching_statistics_league_leaders_2018,2018_american_league_pitcher_reviewpitching_statistics_league_leaderboard,2019_american_league_pitcher_reviewpitching_statistics_league_leaderboard,2020_american_league_pitcher_review2019_2020_pitching_statistics_league_leaders_2021,2021_american_league_pitcher_review2020_2021_pitching_statistics_league_leaders_2022,2022_american_league_pitcher_review2021_2022_pitching_statistics_league_leaders_2023,2023_american_league_pitcher_review2022_2023_pitching_statistics_league_leaders_2024,2024_american_league_pitcher_review2023_2024_pitching_statistics_league_leaders_2025
Statistic,2000,American,,,,,,,,,,,,,,,,,,,,,,,,
Complete Games,2000,American,,,,,,,,,,,,,,,,,,,,,,,,
ERA,2000,American,,,,,,,,,,,,,,,,,,,,,,,,
Games,2000,American,,,,,,,,,,,,,,,,,,,,,,,,
Saves,2000,American,,,,,,,,,,,,,,,,,,,,,,,,
Derek Lowe,2000,American,,,,,,,,,,,,,,,,,,,,,,,,
Shutouts,2000,American,,,,,,,,,,,,,,,,,,,,,,,,
Strikeouts,2000,American,,,,,,,,,,,,,,,,,,,,,,,,
Winning Percentage,2000,American,,,,,,,,,,,,,,,,,,,,,,,,
Wins,2000,American,,,,,,,,,,,,,,,,,,,,,,,,
David Wells,2000,American,,,,,,,,,,,,,,,,,,,,,,,,
,2001,American,Statistic,,,,,,,,,,,,,,,,,,,,,,,
,2001,American,Complete Games,,,,,,,,,,,,,,,,,,,,,,,
,2001,American,ERA,,,,,,,,,,,,,,,,,,,,,,,
,2001,American,Games,,,,,,,,,,,,,,,,,,,,,,,
,2001,American,Saves,,,,,,,,,,,,,,,,,,,,,,,
,2001,American,Shutouts,,,,,,,,,,,,,,,,,,,,,,,
,2001,American,Strikeouts,,,,,,,,,,,,,,,,,,,,,,,
,2001,American,Winning Percentage,,,,,,,,,,,,,,,,,,,,,,,
,2001,American,Wins,,,,,,,,,,,,,,,,,,,,,,,
,2002,American,,Statistic,,,,,,,,,,,,,,,,,,,,,,
,2002,American,,Complete Games,,,,,,,,,,,,,,,,,,,,,,
,2002,American,,ERA,,,,,,,,,,,,,,,,,,,,,,
,2002,American,,Games,,,,,,,,,,,,,,,,,,,,,,
