2000_national_league_pitcher_reviewpitching_statistics_league_leaderboard,year,league,2001_national_league_pitcher_reviewpitching_statistics_league_leaderboard,2002_national_league_pitcher_reviewpitching_statistics_league_leaderboard,2003_national_league_pitcher_reviewpitching_statistics_league_leaderboard,2004_national_league_pitcher_reviewpitching_statistics_league_leaderboard,2005_national_league_pitcher_reviewpitching_statistics_league_leaderboard,2006_national_league_pitcher_review2005_2006_nl_pitching_statistics_league_leaders_2007,2007_national_league_pitcher_review2006_2007_nl_pitching_statistics_league_leaders_2008,2008_national_league_pitcher_review2007_2008_pitching_statistics_league_leaders_2009,2009_national_league_pitcher_reviewpitching_statistics_league_leaderboard,2010_national_league_pitcher_reviewpitching_statistics_league_leaderboard,2011_national_league_pitcher_reviewpitching_statistics_league_leaderboard,2012_national_league_pitcher_review2011_2012_pitching_statistics_league_leaders_2013,2013_national_league_pitcher_reviewpitching_statistics_league_leaderboard,2014_national_league_pitcher_reviewpitching_statistics_league_leaderboard,2015_national_league_pitcher_reviewpitching_statistics_league_leaderboard,2016_national_league_pitcher_reviewpitching_statistics_league_leaderboard,2017_national_league_pitcher_reviewpitching_statistics_league_leaderboard,2018_national_league_pitcher_review2017_2018_hitting_statistics_league_leaders_2019,2019_national_league_pitcher_reviewpitching_statistics_league_leaderboard,2020_national_league_pitcher_review2019_2020_pitching_statistics_league_leaders_2021,2021_national_league_pitcher_review2020_2021_pitching_statistics_league_leaders_2022,2022_national_league_pitcher_review2021_2022_pitching_statistics_league_leaders_2023,2023_national_league_pitcher_review2022_2023_pitching_statistics_league_leaders_2024,2024_national_league_pitcher_review2023_2024_pitching_statistics_league_leaders_2025
Statistic,2000,National,,,,,,,,,,,,,,,,,,,,,,,,
Complete Games,2000,National,,,,,,,,,,,,,,,,,,,,,,,,
Curt Schilling,2000,National,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,2000,National,,,,,,,,,,,,,,,,,,,,,,,,
ERA,2000,National,,,,,,,,,,,,,,,,,,,,,,,,
Games,2000,National,,,,,,,,,,,,,,,,,,,,,,,,
Saves,2000,National,,,,,,,,,,,,,,,,,,,,,,,,
Shutouts,2000,National,,,,,,,,,,,,,,,,,,,,,,,,
Randy Johnson,2000,National,,,,,,,,,,,,,,,,,,,,,,,,
Strikeouts,2000,National,,,,,,,,,,,,,,,,,,,,,,,,
Winning Percentage,2000,National,,,,,,,,,,,,,,,,,,,,,,,,
Wins,2000,National,,,,,,,,,,,,,,,,,,,,,,,,
,2001,National,Statistic,,,,,,,,,,,,,,,,,,,,,,,
,2001,National,Complete Games,,,,,,,,,,,,,,,,,,,,,,,
,2001,National,ERA,,,,,,,,,,,,,,,,,,,,,,,
,2001,National,Games,,,,,,,,,,,,,,,,,,,,,,,
,2001,National,Saves,,,,,,,,,,,,,,,,,,,,,,,
,2001,National,Shutouts,,,,,,,,,,,,,,,,,,,,,,,
,2001,National,Javier Vazquez,,,,,,,,,,,,,,,,,,,,,,,
,2001,National,Strikeouts,,,,,,,,,,,,,,,,,,,,,,,
,2001,National,Winning Percentage,,,,,,,,,,,,,,,,,,,,,,,
,2001,National,Wins,,,,,,,,,,,,,,,,,,,,,,,
,2001,National,Matt Morris,,,,,,,,,,,,,,,,,,,,,,,
,2002,National,,Statistic,,,,,,,,,,,,,,,,,,,,,,
