year,league,division,team,wins,losses,winning_percentage,games_back,ties,payroll
1988,American League,East,Boston Red Sox,89,73,0.549,.549,0,
1988,American League,East,Detroit Tigers,88,74,0.543,.543,0,
1988,American League,East,Toronto Blue Jays,87,75,0.537,.537,0,
1988,American League,East,Milwaukee Brewers,87,75,0.537,.537,0,
1988,American League,East,New York Yankees,85,76,0.528,.528,0,
1988,American League,East,Cleveland Indians,78,84,0.481,.481,0,
1988,American League,East,Baltimore Orioles,54,107,0.335,.335,0,
1988,American League,West,Oakland Athletics,104,58,0.642,.642,0,
1988,American League,West,Minnesota Twins,91,71,0.562,.562,0,
1988,American League,West,Kansas City Royals,84,77,0.522,.522,0,
1988,American League,West,California Angels,75,87,0.463,.463,0,
1988,American League,West,Chicago White Sox,71,90,0.441,.441,0,
1988,American League,West,Texas Rangers,70,91,0.435,.435,0,
1988,American League,West,Seattle Mariners,68,93,0.422,.422,0,
