year,league,division,team,wins,losses,winning_percentage,games_back,ties,payroll
1978,National League,East,Philadelphia Phillies,90,72,0.556,.556,0,
1978,National League,East,Pittsburgh Pirates,88,73,0.547,.547,0,
1978,National League,East,Chicago Cubs,79,83,0.488,.488,0,
1978,National League,East,Montreal Expos,76,86,0.469,.469,0,
1978,National League,East,St. Louis Cardinals,69,93,0.426,.426,0,
1978,National League,East,New York Mets,66,96,0.407,.407,0,
1978,National League,West,Los Angeles Dodgers,95,67,0.586,.586,0,
1978,National League,West,Cincinnati Reds,92,69,0.571,.571,0,
1978,National League,West,San Francisco Giants,89,73,0.549,.549,0,
1978,National League,West,San Diego Padres,84,78,0.519,.519,0,
1978,National League,West,Houston Astros,74,88,0.457,.457,0,
1978,National League,West,Atlanta Braves,69,93,0.426,.426,0,
