year,league,division,team,wins,losses,winning_percentage,games_back
1901,American League,League,Boston Americans,79,57,0.5808823529411765,.581
1901,American League,League,Detroit Tigers,74,61,0.5481481481481482,8½
1902,American League,League,Boston Americans,77,60,0.5620437956204379,6½
1902,American League,League,Detroit Tigers,52,83,0.3851851851851852,30½
1903,American League,League,Boston Americans,91,47,0.6594202898550725,.659
1903,American League,League,Detroit Tigers,65,71,0.47794117647058826,.478
1904,American League,League,Boston Americans,95,59,0.6168831168831169,.617
1904,American League,League,Detroit Tigers,62,90,0.40789473684210525,.408
1905,American League,League,Detroit Tigers,79,74,0.5163398692810458,15½
1905,American League,League,Boston Americans,78,74,0.5131578947368421,.513
1906,American League,League,Detroit Tigers,71,78,0.47651006711409394,.477
1906,American League,League,Boston Americans,49,105,0.3181818181818182,45½
1907,American League,League,Detroit Tigers,92,58,0.6133333333333333,.613
1907,American League,League,Boston Americans,59,90,0.3959731543624161,32½
1908,American League,League,Detroit Tigers,90,63,0.5882352941176471,.588
1908,American League,League,Boston Red Sox,75,79,0.487012987012987,15½
1909,American League,League,Detroit Tigers,98,54,0.6447368421052632,.645
1909,American League,League,Boston Red Sox,88,63,0.5827814569536424,9½
1910,American League,League,Detroit Tigers,86,68,0.5584415584415584,.558
1910,American League,League,Boston Red Sox,81,72,0.5294117647058824,22½
1911,American League,League,Detroit Tigers,89,65,0.577922077922078,13½
1911,American League,League,Boston Red Sox,78,75,0.5098039215686274,.510
1912,American League,League,Boston Red Sox,105,47,0.6907894736842105,.691
1912,American League,League,Detroit Tigers,69,84,0.45098039215686275,36½
1913,American League,League,Boston Red Sox,79,71,0.5266666666666666,15?
1913,American League,League,Detroit Tigers,66,87,0.43137254901960786,.431
1914,American League,League,Boston Red Sox,91,62,0.5947712418300654,8½
1914,American League,League,Detroit Tigers,80,73,0.5228758169934641,19½
1915,American League,League,Boston Red Sox,101,50,0.6688741721854304,.669
1915,American League,League,Detroit Tigers,100,54,0.6493506493506493,2½
1916,American League,League,Boston Red Sox,91,63,0.5909090909090909,.591
1916,American League,League,Detroit Tigers,87,67,0.564935064935065,.565
1917,American League,League,Boston Red Sox,90,62,0.5921052631578947,.592
1917,American League,League,Detroit Tigers,78,75,0.5098039215686274,21½
1918,American League,League,Boston Red Sox,75,51,0.5952380952380952,.595
1918,American League,League,Detroit Tigers,55,71,0.4365079365079365,.437
1919,American League,League,Detroit Tigers,80,60,0.5714285714285714,.571
1919,American League,League,Boston Red Sox,66,71,0.48175182481751827,20½
1920,American League,League,Boston Red Sox,72,81,0.47058823529411764,25½
1920,American League,League,Detroit Tigers,61,93,0.3961038961038961,.396
