name,url,team,team_url,year,league,statistic,value,stat_type,rank
Mallex Smith,https://www.baseball-almanac.com/players/player.php?p=smithma05,Tampa Bay Rays,,2018,American League,Triples,10,player,1
Carlos Carrasco,https://www.baseball-almanac.com/players/player.php?p=carraca01,Cleveland Indians,,2018,American League,Complete Games,2,pitcher,1
Corey Kluber,https://www.baseball-almanac.com/players/player.php?p=klubeco01,Cleveland Indians,,2018,American League,Complete Games,2,pitcher,1
James Paxton,https://www.baseball-almanac.com/players/player.php?p=paxtoja01,Seattle Mariners,,2018,American League,Complete Games,2,pitcher,1
Mike Clevinger,https://www.baseball-almanac.com/players/player.php?p=clevimi01,Cleveland Indians,,2018,American League,Shutouts,1,pitcher,1
Gerrit Cole,https://www.baseball-almanac.com/players/player.php?p=colege01,Houston Astros,,2018,American League,Shutouts,1,pitcher,1
Andrew Heaney,https://www.baseball-almanac.com/players/player.php?p=heanean01,Los Angeles Angels,,2018,American League,Shutouts,1,pitcher,1
Corey Kluber,https://www.baseball-almanac.com/players/player.php?p=klubeco01,Cleveland Indians,,2018,American League,Shutouts,1,pitcher,1
Sean Manaea,https://www.baseball-almanac.com/players/player.php?p=manaese01,Oakland Athletics,,2018,American League,Shutouts,1,pitcher,1
Daniel Mengden,https://www.baseball-almanac.com/players/player.php?p=mengdda01,Oakland Athletics,,2018,American League,Shutouts,1,pitcher,1
James Paxton,https://www.baseball-almanac.com/players/player.php?p=paxtoja01,Seattle Mariners,,2018,American League,Shutouts,1,pitcher,1
Luis Severino,https://www.baseball-almanac.com/players/player.php?p=severlu01,New York Yankees,,2018,American League,Shutouts,1,pitcher,1
Masahiro Tanaka,https://www.baseball-almanac.com/players/player.php?p=tanakma01,New York Yankees,,2018,American League,Shutouts,1,pitcher,1
Justin Verlander,https://www.baseball-almanac.com/players/player.php?p=verlaju01,Houston Astros,,2018,American League,Shutouts,1,pitcher,1
