year,league,division,team,wins,losses,winning_percentage,games_back
1876,National League,League,Boston Red Caps,39,31,0.5571428571428572,.557
1877,National League,League,Boston Red Caps,42,18,0.7,.700
1878,National League,League,Boston Red Caps,41,19,0.6833333333333333,.683
1878,National League,League,Cincinnati Reds,37,23,0.6166666666666667,.617
1878,National League,League,Providence Grays,33,27,0.55,.550
1879,National League,League,Providence Grays,59,25,0.7023809523809523,.702
1879,National League,League,Boston Red Caps,54,30,0.6428571428571429,.643
1879,National League,League,Cincinnati Reds,43,37,0.5375,.538
1879,National League,League,Syracuse Stars,22,48,0.3142857142857143,.314
1880,National League,League,Providence Grays,52,32,0.6190476190476191,.619
1880,National League,League,Troy Trojans,41,42,0.4939759036144578,25½
1880,National League,League,Boston Red Caps,40,44,0.47619047619047616,.476
1880,National League,League,Cincinnati Reds,21,59,0.2625,.263
1881,National League,League,Providence Grays,47,37,0.5595238095238095,.560
1881,National League,League,Troy Trojans,39,45,0.4642857142857143,.464
1881,National League,League,Boston Red Caps,38,45,0.4578313253012048,17½
1882,National League,League,Providence Grays,52,32,0.6190476190476191,.619
1882,National League,League,Boston Red Caps,45,39,0.5357142857142857,.536
1882,National League,League,Troy Trojans,35,48,0.42168674698795183,19½
1883,National League,League,Boston Beaneaters,63,35,0.6428571428571429,.643
1883,National League,League,Providence Grays,58,40,0.5918367346938775,.592
1884,National League,League,Providence Grays,84,28,0.75,.750
1884,National League,League,Boston Beaneaters,73,38,0.6576576576576577,10½
1885,National League,League,Providence Grays,53,57,0.4818181818181818,.482
1885,National League,League,Boston Beaneaters,46,66,0.4107142857142857,.411
1886,National League,League,Boston Beaneaters,56,61,0.47863247863247865,30½
1887,National League,League,Boston Beaneaters,61,60,0.5041322314049587,16½
1888,National League,League,Boston Beaneaters,70,64,0.5223880597014925,15½
1889,National League,League,Boston Beaneaters,83,45,0.6484375,.648
1890,National League,League,Cincinnati Reds,77,55,0.5833333333333334,10½
1890,National League,League,Boston Beaneaters,76,57,0.5714285714285714,.571
1891,National League,League,Boston Beaneaters,87,51,0.6304347826086957,.630
1891,National League,League,Cincinnati Reds,56,81,0.40875912408759124,30½
1891,National League,League,Pittsburgh Pirates,55,80,0.4074074074074074,30½
1892,National League,League,Boston Beaneaters,52,22,0.7027027027027027,+2½
1892,National League,League,(b),50,26,0.6578947368421053,.658
1892,National League,League,(b),53,23,0.6973684210526315,+3
1892,National League,League,(b),44,33,0.5714285714285714,9½
1892,National League,League,(b),41,36,0.5324675324675324,12½
1892,National League,League,Cincinnati Reds,44,31,0.5866666666666667,8½
1892,National League,League,(b),38,37,0.5066666666666667,14½
1892,National League,League,Pittsburgh Pirates,37,39,0.4868421052631579,.487
1892,National League,League,(b),43,34,0.5584415584415584,10½
1892,National League,League,(b),39,37,0.5131578947368421,.513
1892,National League,League,(b),40,37,0.5194805194805194,13½
1892,National League,League,(b),33,42,0.44,19½
1892,National League,League,(b),23,52,0.30666666666666664,24½
1892,National League,League,(b),25,52,0.3246753246753247,28½
1892,National League,League,(b),26,46,0.3611111111111111,.361
1893,National League,League,Boston Beaneaters,86,43,0.6666666666666666,.667
1893,National League,League,Pittsburgh Pirates,81,48,0.627906976744186,.628
1893,National League,League,Cincinnati Reds,65,63,0.5078125,20½
1894,National League,League,Boston Beaneaters,83,49,0.6287878787878788,.629
1894,National League,League,Pittsburgh Pirates,65,65,0.5,.500
1894,National League,League,Cincinnati Reds,55,75,0.4230769230769231,.423
1895,National League,League,Boston Beaneaters,71,60,0.5419847328244275,16½
1895,National League,League,Pittsburgh Pirates,71,61,0.5378787878787878,.538
1895,National League,League,Cincinnati Reds,66,64,0.5076923076923077,.508
1896,National League,League,Cincinnati Reds,77,50,0.6062992125984252,.606
1896,National League,League,Boston Beaneaters,74,57,0.5648854961832062,.565
1896,National League,League,Pittsburgh Pirates,66,63,0.5116279069767442,.512
1897,National League,League,Boston Beaneaters,93,39,0.7045454545454546,.705
1897,National League,League,Cincinnati Reds,76,56,0.5757575757575758,.576
1897,National League,League,Pittsburgh Pirates,60,71,0.4580152671755725,32½
1898,National League,League,Boston Beaneaters,102,47,0.6845637583892618,.685
1898,National League,League,Cincinnati Reds,92,60,0.6052631578947368,11½
1898,National League,League,Chicago Orphans,85,65,0.5666666666666667,17½
1898,National League,League,Pittsburgh Pirates,72,76,0.4864864864864865,29½
1899,National League,League,Boston Beaneaters,95,57,0.625,.625
1899,National League,League,Cincinnati Reds,83,67,0.5533333333333333,.553
