name,url,team,team_url,year,league,statistic,value,stat_type,rank
Camilo Doval,https://www.baseball-almanac.com/players/player.php?p=dovalca01,San Francisco Giants,https://www.baseball-almanac.com/teamstats/roster.php?y=2023&t=SFN,2023,National League,Saves,39,pitcher,1
Alex Cobb,https://www.baseball-almanac.com/players/player.php?p=cobbal01,San Francisco Giants,https://www.baseball-almanac.com/teamstats/roster.php?y=2023&t=SFN,2023,National League,Shutouts,1,pitcher,1
Max Fried,https://www.baseball-almanac.com/players/player.php?p=friedma01,Atlanta Braves,https://www.baseball-almanac.com/teamstats/roster.php?y=2023&t=ATL,2023,National League,Shutouts,1,pitcher,1
Zac Gallen,https://www.baseball-almanac.com/players/player.php?p=galleza01,Arizona Diamondbacks,https://www.baseball-almanac.com/teamstats/roster.php?y=2023&t=ARI,2023,National League,Shutouts,1,pitcher,1
Mitch Keller,https://www.baseball-almanac.com/players/player.php?p=kellemi03,Pittsburgh Pirates,https://www.baseball-almanac.com/teamstats/roster.php?y=2023&t=PIT,2023,National League,Shutouts,1,pitcher,1
Michael Lorenzen,https://www.baseball-almanac.com/players/player.php?p=lorenmi01,Philadelphia Phillies,https://www.baseball-almanac.com/teamstats/roster.php?y=2023&t=PHI,2023,National League,Shutouts,1,pitcher,1
Johan Oviedo,https://www.baseball-almanac.com/players/player.php?p=oviedjo01,Pittsburgh Pirates,https://www.baseball-almanac.com/teamstats/roster.php?y=2023&t=PIT,2023,National League,Shutouts,1,pitcher,1
Marcus Stroman,https://www.baseball-almanac.com/players/player.php?p=stromma01,Chicago Cubs,https://www.baseball-almanac.com/teamstats/roster.php?y=2023&t=CHN,2023,National League,Shutouts,1,pitcher,1
Logan Webb,https://www.baseball-almanac.com/players/player.php?p=webblo01,San Francisco Giants,https://www.baseball-almanac.com/teamstats/roster.php?y=2023&t=SFN,2023,National League,Shutouts,1,pitcher,1
Brandon Woodruff,https://www.baseball-almanac.com/players/player.php?p=woodrbr01,Milwaukee Brewers,https://www.baseball-almanac.com/teamstats/roster.php?y=2023&t=ML4,2023,National League,Shutouts,1,pitcher,1
