player_name,team,year,league,Base on Balls,Batting Average,Doubles,Hits,Home Runs,On Base Percentage,RBI,Runs,Slugging Average,Stolen Bases,Total Bases,Triples
Carlos Santana,Cleveland Indians,2020,American League,47,,,,,,,,,,,
DJ LeMahieu,New York Yankees,2020,American League,,.364,,,,.421,,,,,,
Cesar Hernandez,Cleveland Indians,2020,American League,,,20,,,,,,,,,
Jose Abreu,Chicago White Sox,2020,American League,,,,76,,,60,,.617,,148,
Luke Voit,New York Yankees,2020,American League,,,,,22,,,,,,,
Tim Anderson,Chicago White Sox,2020,American League,,,,,,,,45,,,,
Adalberto Mondesi,Kansas City Royals,2020,American League,,,,,,,,,,24,,
Kyle Tucker,Houston Astros,2020,American League,,,,,,,,,,,,6
Bryce Harper,Philadelphia Phillies,2020,National League,49,,,,,,,,,,,
Juan Soto,Washington Nationals,2020,National League,,.351,,,,.490,,,.695,,,
Freddie Freeman,Atlanta Braves,2020,National League,,,23,,,,,51,,,,
Trea Turner,Washington Nationals,2020,National League,,,,78,,,,,,,,
Marcell Ozuna,Atlanta Braves,2020,National League,,,,,18,,56,,,,145,
Trevor Story,Colorado Rockies,2020,National League,,,,,,,,,,15,,4
Joey Gallo,Texas Rangers,2021,American League,111,,,,,,,,,,,
Yuli Gurriel,Houston Astros,2021,American League,,.319,,,,,,,,,,
Jeimer Candelario,Detroit Tigers,2021,American League,,,42,,,,,,,,,
Bo Bichette,Toronto Blue Jays,2021,American League,,,,191,,,,,,,,
Vladimir Guerrero Jr.,Toronto Blue Jays,2021,American League,,,,,48,.401,,123,.601,,363,
Salvador Perez,Kansas City Royals,2021,American League,,,,,,,121,,,,,
Whit Merrifield,Kansas City Royals,2021,American League,,,,,,,,,,40,,
Shohei Ohtani,Los Angeles Angels,2021,American League,,,,,,,,,,,,8
Juan Soto,Washington Nationals,2021,National League,145,,,,,.465,,,,,,
Trea Turner,Washington Nationals,2021,National League,,.328,,195,,,,,,32,319,
Bryce Harper,Philadelphia Phillies,2021,National League,,,42,,,,,,.615,,,
Fernando Tatis Jr.,San Diego Padres,2021,National League,,,,,42,,,,,,,
Adam Duvall,Miami Marlins,2021,National League,,,,,,,113,,,,,
Freddie Freeman,Atlanta Braves,2021,National League,,,,,,,,120,,,,
David Peralta,Arizona Diamondbacks,2021,National League,,,,,,,,,,,,8
Aaron Judge,New York Yankees,2022,American League,111,,,,62,.425,131,133,.686,,391,
Luis Arraez,Minnesota Twins,2022,American League,,.316,,,,,,,,,,
José Ramírez,Cleveland Guardians,2022,American League,,,44,,,,,,,,,
Bo Bichette,Toronto Blue Jays,2022,American League,,,,189,,,,,,,,
Jorge Mateo,Baltimore Orioles,2022,American League,,,,,,,,,,35,,
Amed Rosario,Cleveland Guardians,2022,American League,,,,,,,,,,,,9
Juan Soto,Washington Nationals,2022,National League,135,,,,,,,,,,,
Jeff McNeil,New York Mets,2022,National League,,.326,,,,,,,,,,
Freddie Freeman,Los Angeles Dodgers,2022,National League,,,44,11,,.407,,,,,,
Kyle Schwarber,Philadelphia Phillies,2022,National League,,,,,46,,,,,,,
Pete Alonso,New York Mets,2022,National League,,,,,,,131,,,,,
Mookie Betts,Los Angeles Dodgers,2022,National League,,,,,,,,117,,,,
Paul Goldschmidt,St. Louis Cardinals,2022,National League,,,,,,,,,.578,,,
Jon Berti,Miami Marlins,2022,National League,,,,,,,,,,41,,
Austin Riley,Atlanta Braves,2022,National League,,,,,,,,,,,325,
Gavin Lux,Los Angeles Dodgers,2022,National League,,,,,,,,,,,,7
J.P. Crawford,Seattle Mariners,2023,American League,94,,,,,,,,,,,
Yandy Díaz,Tampa Bay Rays,2023,American League,,.330,,,,,,,,,,
Corey Seager,Texas Rangers,2023,American League,,,42,,,,,,,,,
Marcus Semien,Texas Rangers,2023,American League,,,,185,,,,122,,,,
Shohei Ohtani,Los Angeles Angels,2023,American League,,,,,44,.412,,,.654,,325,
Kyle Tucker,Houston Astros,2023,American League,,,,,,,112,,,,,
Esteury Ruiz,Oakland Athletics,2023,American League,,,,,,,,,,67,,
Bobby Witt Jr.,Kansas City Royals,2023,American League,,,,,,,,,,,,11
Juan Soto,San Diego Padres,2023,National League,132,,,,,,,,,,,
Luis Arraez,Miami Marlins,2023,National League,,.354,,,,,,,,,,
Freddie Freeman,Los Angeles Dodgers,2023,National League,,,59,,,,,,,,,
Ronald Acuña Jr.,Atlanta Braves,2023,National League,,,,217,,.416,,149,,73,383,
Matt Olson,Atlanta Braves,2023,National League,,,,,54,,139,,.604,,,
Corbin Carroll,Arizona Diamondbacks,2023,National League,,,,,,,,,,,,10
Aaron Judge,New York,2024,American League,133,,,,58,.458,144,,.701,,392,
Bobby Witt Jr.,Kansas City,2024,American League,,.332,,211,,,,,,,,
Jarren Duran,Boston,2024,American League,,,48,,,,,,,,,14
Juan Soto,New York,2024,American League,,,,,,,,128,,,,
Jose Caballero,Tampa Bay,2024,American League,,,,,,,,,,44,,
Kyle Schwarber,Philadelphia,2024,National League,105,,,,,,,,,,,
Luis Arraez,Miami,2024,National League,,.314,,200,,,,,,,,
Ezequiel Tovar,Colorado,2024,National League,,,45,,,,,,,,,
Shohei Ohtani,Los Angeles,2024,National League,,,,,54,.390,130,134,.646,,411,
Elly De La Cruz,Cincinnati,2024,National League,,,,,,,,,,67,,
Corbin Carroll,Arizona,2024,National League,,,,,,,,,,,,14
