year,league,division,team,wins,losses,winning_percentage,games_back,ties,payroll
1974,American League,League,Baltimore Orioles,91,71,0.562,.562,0,
1974,American League,League,New York Yankees,89,73,0.549,.549,0,
1974,American League,League,Boston Red Sox,84,78,0.519,.519,0,
1974,American League,League,Cleveland Indians,77,85,0.475,.475,0,
1974,American League,League,Milwaukee Brewers,76,86,0.469,.469,0,
1974,American League,League,Detroit Tigers,72,90,0.444,.444,0,
1974,American League,League,Oakland Athletics,90,72,0.556,.556,0,
1974,American League,League,Texas Rangers,84,76,0.525,.525,0,
1974,American League,League,Minnesota Twins,82,80,0.506,.506,0,
1974,American League,League,Chicago White Sox,80,80,0.5,.500,0,
1974,American League,League,Kansas City Royals,77,85,0.475,.475,0,
1974,American League,League,California Angels,68,94,0.42,.420,0,
