name,url,team,team_url,year,league,statistic,value,stat_type,rank
Babe Ruth,https://www.baseball-almanac.com/players/player.php?p=ruthba01,New York,,1923,American League,Base on Balls,170,player,1
Harry Heilmann,https://www.baseball-almanac.com/players/player.php?p=heilmha01,Detroit,,1923,American League,Batting Average,.403,player,1
Tris Speaker,https://www.baseball-almanac.com/players/player.php?p=speaktr01,Cleveland,,1923,American League,Doubles,59,player,1
Charlie Jamieson,https://www.baseball-almanac.com/players/player.php?p=jamiech01,Cleveland,,1923,American League,Hits,222,player,1
Babe Ruth,https://www.baseball-almanac.com/players/player.php?p=ruthba01,New York,,1923,American League,Home Runs,41,player,1
Babe Ruth,https://www.baseball-almanac.com/players/player.php?p=ruthba01,New York,,1923,American League,On Base Percentage,.545,player,1
Babe Ruth,https://www.baseball-almanac.com/players/player.php?p=ruthba01,New York,,1923,American League,RBI,131,player,1
Babe Ruth,https://www.baseball-almanac.com/players/player.php?p=ruthba01,New York,,1923,American League,Runs,151,player,1
Babe Ruth,https://www.baseball-almanac.com/players/player.php?p=ruthba01,New York,,1923,American League,Slugging Average,.764,player,1
Eddie Collins,https://www.baseball-almanac.com/players/player.php?p=collied01,Chicago,,1923,American League,Stolen Bases,48,player,1
Babe Ruth,https://www.baseball-almanac.com/players/player.php?p=ruthba01,New York,,1923,American League,Total Bases,399,player,1
Goose Goslin,https://www.baseball-almanac.com/players/player.php?p=gosligo01,Washington,,1923,American League,Triples,18,player,1
Sam Rice,https://www.baseball-almanac.com/players/player.php?p=ricesa01,Washington,,1923,American League,Triples,18,player,1
George Uhle,https://www.baseball-almanac.com/players/player.php?p=uhlege01,Cleveland,,1923,American League,Complete Games,29,pitcher,1
Stan Coveleski,https://www.baseball-almanac.com/players/player.php?p=covelst01,Cleveland,,1923,American League,ERA,2.76,pitcher,1
Eddie Rommel,https://www.baseball-almanac.com/players/player.php?p=rommeed01,Philadelphia,,1923,American League,Games,56,pitcher,1
Allan Russell,https://www.baseball-almanac.com/players/player.php?p=russeal01,Washington,,1923,American League,Saves,9,pitcher,1
Stan Coveleski,https://www.baseball-almanac.com/players/player.php?p=covelst01,Cleveland,,1923,American League,Shutouts,5,pitcher,1
Walter Johnson,https://www.baseball-almanac.com/players/player.php?p=johnswa01,Washington,,1923,American League,Strikeouts,130,pitcher,1
Herb Pennock,https://www.baseball-almanac.com/players/player.php?p=pennohe01,New York,,1923,American League,Winning Percentage,.760,pitcher,1
George Uhle,https://www.baseball-almanac.com/players/player.php?p=uhlege01,Cleveland,,1923,American League,Wins,26,pitcher,1
