year,league,division,team,wins,losses,winning_percentage,games_back,ties,payroll
2000,National League,League,Atlanta Braves,95,67,0.586,.586,0,
2000,National League,League,New York Mets,94,68,0.58,.580,0,
2000,National League,League,Florida Marlins,79,82,0.491,.491,0,
2000,National League,League,Montreal Expos,67,95,0.414,.414,0,
2000,National League,League,Philadelphia Phillies,65,97,0.401,.401,0,
2000,National League,League,St. Louis Cardinals,95,67,0.586,.586,0,
2000,National League,League,Cincinnati Reds,85,77,0.525,.525,0,
2000,National League,League,Milwaukee Brewers,73,89,0.451,.451,0,
2000,National League,League,Houston Astros,72,90,0.444,.444,0,
2000,National League,League,Pittsburgh Pirates,69,93,0.426,.426,0,
2000,National League,League,Chicago Cubs,65,97,0.401,.401,0,
2000,National League,League,San Francisco Giants,97,65,0.599,.599,0,
2000,National League,League,Los Angeles Dodgers,86,76,0.531,.531,0,
2000,National League,League,Arizona Diamondbacks,85,77,0.525,.525,0,
2000,National League,League,Colorado Rockies,82,80,0.506,.506,0,
2000,National League,League,San Diego Padres,76,86,0.469,.469,0,
